geocoes:name,geocies:name,geocies:zipCode,geocies:idStat,geocigres:name,geon3es:name,geon2es:name,geocoes:idIso,geon3es:idIso,geon3es:idStat,geon2es:idIso,geon2es:idStat,geocoes:statisticalInstitute,geo_borough:name
España,Calaf,8280,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Calonge De Segarra,8281,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Castellfollit De Riubregos,8281,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Copons,8281,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,"Coromines, Les (Aguilar De Segarra)",8281,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Els Prats Del Rei,8281,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Pere De L'Ars,8281,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Pere Sallavinera,8281,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Pujalt,8282,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Marti Sesgueioles,8282,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Cerdanyola Del Vallès,8290,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Ripollet,8291,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,La Colonia Sedó,8292,,Baix Llobregat,Barcelona,Catalunya,ES,ES-B,,,,,
España,Esparreguera,8292,,Baix Llobregat,Barcelona,Catalunya,ES,ES-B,,,,,
España,Collbató,8293,,Baix Llobregat,Barcelona,Catalunya,ES,ES-B,,,,,
España,El Bruc,8294,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Pau De La Guàrdia,8294,,Anoia,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Vicenç De Castellet,8295,,Bages,Barcelona,Catalunya,ES,ES-B,,,,,
España,Can Serra I Pedro,8296,,Bages,Barcelona,Catalunya,ES,ES-B,,,,,
España,Castellbell I El Vilar,8296,,Bages,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cristòfol,8296,,Bages,Barcelona,Catalunya,ES,ES-B,,,,,
España,Castellgalí,8297,,Bages,Barcelona,Catalunya,ES,ES-B,,,,,
España,Marganell,8298,,Bages,Barcelona,Catalunya,ES,ES-B,,,,,
España,Rellinars,8299,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Mataró,8300,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Mataró,8301,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Mataró,8302,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Mataró,8303,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Mataró,8304,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Argentona,8310,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Òrrius,8317,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Canyamars,8318,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Dosrius,8319,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Masnou,8320,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Alella,8328,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Teià,8329,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Premià De Mar,8330,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Premià De Dalt,8338,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Vilassar De Dalt,8339,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
España,Vilassar De Mar,8340,,Maresme,Barcelona,Catalunya,ES,ES-B,,,,,
